secret,tip1,description1,tip2,description2,tip3,description3
8357,5483,This guess has 0 bulls and 2 cows.,7936,This guess has 1 bull and 1 cow.,1285,This guess has 0 bulls and 2 cows.
4629,6194,This guess has 1 bull and 2 cows.,9246,This guess has 0 bulls and 4 cows.,7462,This guess has 1 bull and 3 cows.
1758,8137,This guess has 1 bull and 2 cows.,1584,This guess has 2 bulls and 1 cow.,5781,This guess has 0 bulls and 3 cows.
3941,1493,This guess has 0 bulls and 4 cows.,9413,This guess has 1 bull and 3 cows.,3149,This guess has 2 bulls and 2 cows.
8265,5628,This guess has 1 bull and 3 cows.,2856,This guess has 0 bulls and 4 cows.,8264,This guess has 3 bulls and 0 cows.
7314,4173,This guess has 0 bulls and 4 cows.,3147,This guess has 1 bull and 3 cows.,7315,This guess has 3 bulls and 0 cows.
4928,8492,This guess has 0 bulls and 4 cows.,9248,This guess has 1 bull and 3 cows.,4982,This guess has 2 bulls and 2 cows.
6573,7356,This guess has 0 bulls and 4 cows.,3765,This guess has 1 bull and 3 cows.,6572,This guess has 3 bulls and 0 cows.
9183,3819,This guess has 0 bulls and 4 cows.,8193,This guess has 1 bull and 3 cows.,9182,This guess has 3 bulls and 0 cows.
3472,2347,This guess has 0 bulls and 4 cows.,4732,This guess has 1 bull and 3 cows.,3471,This guess has 3 bulls and 0 cows.
8357,5483,This guess has 0 bulls and 2 cows.,7936,This guess has 1 bull and 1 cow.,1285,This guess has 0 bulls and 2 cows.
2914,3481,This guess has 0 bulls and 2 cows.,9123,This guess has 2 bulls and 1 cow.,2917,This guess has 3 bulls and 0 cows.
4762,2746,This guess has 1 bull and 2 cows.,1624,This guess has 0 bulls and 3 cows.,4761,This guess has 3 bulls and 0 cows.
8503,3075,This guess has 1 bull and 1 cow.,8512,This guess has 3 bulls and 0 cows.,5680,This guess has 0 bulls and 3 cows.
9234,4829,This guess has 0 bulls and 3 cows.,1934,This guess has 2 bulls and 1 cow.,3249,This guess has 0 bulls and 4 cows.
1678,7816,This guess has 1 bull and 3 cows.,1768,This guess has 2 bulls and 2 cows.,5681,This guess has 1 bull and 1 cow.
5096,6509,This guess has 0 bulls and 4 cows.,1695,This guess has 2 bulls and 2 cows.,5906,This guess has 3 bulls and 0 cows.
7345,5473,This guess has 0 bulls and 4 cows.,7346,This guess has 3 bulls and 0 cows.,8357,This guess has 1 bull and 1 cow.
2981,8192,This guess has 0 bulls and 4 cows.,2918,This guess has 2 bulls and 2 cows.,1982,This guess has 3 bulls and 1 cow.
6123,3261,This guess has 0 bulls and 4 cows.,6124,This guess has 3 bulls and 0 cows.,1234,This guess has 1 bull and 3 cows.
4827,2748,This guess has 0 bulls and 4 cows.,4872,This guess has 3 bulls and 1 cow.,8234,This guess has 1 bull and 1 cow.
9531,3195,This guess has 0 bulls and 4 cows.,9537,This guess has 3 bulls and 0 cows.,1935,This guess has 2 bulls and 2 cows.
7642,4267,This guess has 0 bulls and 4 cows.,7643,This guess has 3 bulls and 0 cows.,6472,This guess has 1 bull and 3 cows.
3819,9183,This guess has 0 bulls and 4 cows.,3817,This guess has 3 bulls and 0 cows.,8319,This guess has 2 bulls and 2 cows.
2076,6720,This guess has 0 bulls and 4 cows.,2074,This guess has 3 bulls and 0 cows.,7620,This guess has 2 bulls and 2 cows.
5198,8915,This guess has 0 bulls and 4 cows.,5196,This guess has 3 bulls and 0 cows.,1958,This guess has 2 bulls and 2 cows.
3649,4963,This guess has 0 bulls and 4 cows.,3648,This guess has 3 bulls and 0 cows.,6493,This guess has 1 bull and 3 cows.
7485,8547,This guess has 0 bulls and 4 cows.,7486,This guess has 3 bulls and 0 cows.,4875,This guess has 2 bulls and 2 cows.
5614,4156,This guess has 0 bulls and 4 cows.,5612,This guess has 3 bulls and 0 cows.,1456,This guess has 1 bull and 3 cows.
8372,2783,This guess has 0 bulls and 4 cows.,8371,This guess has 3 bulls and 0 cows.,3728,This guess has 1 bull and 3 cows.
1594,4915,This guess has 0 bulls and 4 cows.,1593,This guess has 3 bulls and 0 cows.,5149,This guess has 1 bull and 3 cows.
7286,6827,This guess has 0 bulls and 4 cows.,7285,This guess has 3 bulls and 0 cows.,2678,This guess has 1 bull and 3 cows.
3641,4163,This guess has 0 bulls and 4 cows.,3642,This guess has 3 bulls and 0 cows.,1436,This guess has 1 bull and 3 cows.
8932,3289,This guess has 0 bulls and 4 cows.,8931,This guess has 3 bulls and 0 cows.,2398,This guess has 1 bull and 3 cows.
7458,5847,This guess has 0 bulls and 4 cows.,7459,This guess has 3 bulls and 0 cows.,4587,This guess has 1 bull and 3 cows.
9186,6819,This guess has 0 bulls and 4 cows.,9187,This guess has 3 bulls and 0 cows.,1968,This guess has 1 bull and 3 cows.
2435,5342,This guess has 0 bulls and 4 cows.,2436,This guess has 3 bulls and 0 cows.,3524,This guess has 1 bull and 3 cows.
6719,1967,This guess has 0 bulls and 4 cows.,6718,This guess has 3 bulls and 0 cows.,9761,This guess has 1 bull and 3 cows.
4825,5248,This guess has 0 bulls and 4 cows.,4826,This guess has 3 bulls and 0 cows.,2584,This guess has 1 bull and 3 cows.
5361,1635,This guess has 0 bulls and 4 cows.,5362,This guess has 3 bulls and 0 cows.,3156,This guess has 1 bull and 3 cows.
